X1,X2,X3,X4,X5,X6,X7,X8,Y
No,Hot,5.54,5.55,1.3,52.04,85.55,80.78,88.48
No,Neutral,5.44,5.7,18.08,96.84,59.26,60.49,115.37
Yes,Cold,3.56,3.71,59.55,96.12,14.89,10.3,118.35
No,Neutral,6.13,6.28,7.38,NA,99.91,98.82,106.08
Yes,Neutral,4.31,4.37,8.9,82.21,42.75,44.91,101.82
No,Cold,NA,3.4,10.64,75.92,34.14,33.39,100.24
Yes,Hot,7.61,NA,12.93,87.17,84.91,80.44,104.27
Yes,Neutral,1,0.98,29.25,89.47,47.26,42.47,105.15
No,Neutral,6.74,6.75,1.75,98.02,9.1,8.39,101.03
No,Cold,2.58,2.55,3.91,86.53,63.99,62.48,98.31
Yes,Neutral,3.68,3.68,26.45,95.74,45.62,48.03,111.79
No,Neutral,3.99,3.89,1.93,88.89,86.73,87.6,105.44
NA,Neutral,3.87,3.89,19.73,89.95,45.65,45.07,101.93
No,Neutral,3.45,3.51,26.76,99.44,71.09,66.34,97.27
No,Cold,3.3,3.31,10.39,98.55,13.27,10.02,110.7
Yes,Neutral,4.84,4.61,5.2,84.81,63.82,64.08,102.75
No,Neutral,5.5,5.27,9.9,99.65,15.73,15.38,112.07
Yes,Neutral,6.5,6.25,9.34,99.37,91.12,NA,110.47
Yes,Neutral,4.63,4.45,8.34,89.38,79.98,76.77,112.07
Yes,Neutral,4.56,4.74,7.74,92.1,5.18,5.91,109.37
No,NA,5.88,5.78,1.12,35.09,45.78,46.96,92.61
No,Neutral,4.42,4.31,3.94,58.34,5.22,6.74,106.62
No,Cold,8.32,8.59,11.87,88.01,40.38,43.46,113.93
Yes,Neutral,5.48,5.51,17.63,97.03,73.21,76.01,111.97
No,Hot,6.89,6.81,12.55,98.94,30.82,33.98,92.44
No,Cold,5.09,NA,14.99,94.92,NA,83.96,106.18
Yes,Neutral,4.71,4.55,2.01,96.41,42.95,45.92,113.24
Yes,Neutral,1.85,1.76,10.13,83.69,72.43,72.2,102.49
No,Cold,3.81,3.73,10.94,98.54,57.87,56.61,103.49
Yes,Neutral,8.01,8.09,10.84,81.27,36.02,37.29,110.05
Yes,Cold,5.6,5.74,2.7,77.42,2.26,6.07,108.95
No,Neutral,6.7,6.82,23.91,93.72,22.8,25.92,113.7
No,Cold,6.29,NA,38.79,61.75,8.93,4.92,111.39
No,NA,9.33,9.38,10.68,NA,16.78,15.43,109.3
Yes,Hot,6.71,NA,2.91,70.91,41.86,39.69,96.22
No,Neutral,NA,4.42,3.85,84.72,75.51,70.89,112.13
No,Cold,4.21,4.13,53.38,92.69,49.03,49.26,109.38
Yes,Hot,4.22,4.26,4.17,81.3,74.08,76.14,92.12
Yes,NA,8.23,8.47,2.87,93.53,34.09,38.71,110.74
No,Hot,6.41,6.31,3.82,98.27,89.67,90.55,90.75
No,Neutral,5.89,6.08,45.69,99.45,NA,3.36,121.76
Yes,Hot,6.08,5.89,15.52,91.75,17.35,12.95,102.87
Yes,Hot,NA,3.22,49.29,NA,NA,15.54,99.25
NA,Neutral,6.17,6.29,7.36,73.86,46.51,47.71,116.08
No,Neutral,6.15,5.94,10.33,93.82,34.04,37.09,100.3
Yes,Neutral,3.4,3.25,28.45,74.12,80.39,75.4,105.87
Yes,Hot,6.37,6.25,16.48,72.28,65.71,62.22,95.95
No,Hot,7.07,NA,5.4,99.35,57.51,54.5,102.86
Yes,Neutral,6.29,6.17,2.84,81.25,29.64,26.32,105.6
No,Neutral,3.07,2.96,21.35,93.62,89.19,87.28,101.76
No,Cold,6.13,5.99,NA,85.17,30.32,32.94,101.14
Yes,Neutral,3.85,4.03,7.45,90.86,NA,50.94,108.53
Yes,Cold,5.41,5.58,3.2,96.54,47.37,43.39,108.64
NA,Cold,6.18,6.45,2.51,5.36,74.99,NA,93.66
No,Neutral,5.89,6.18,14.55,99.1,65.77,69.74,108.03
No,Neutral,4.93,4.81,4.61,97.87,2.38,2.89,115.67
No,Cold,6.87,6.96,16.22,87.59,NA,69.28,106.7
Yes,Hot,4.96,5.21,5.3,88.16,93.86,89.48,107.57
No,Neutral,4.46,4.37,10.51,79.63,7.17,9.34,102.25
No,Neutral,6.48,6.44,13.41,92.5,38.22,40.59,103.86
No,Neutral,4.44,4.22,1.24,99.19,12.55,12.45,103.29
Yes,Hot,7.24,6.95,NA,98.32,67.02,66.52,99.88
Yes,Neutral,2.52,2.47,27.69,95.43,76.84,74.78,109.95
Yes,Hot,4.27,4.47,21.64,82.15,92.64,95.98,105.46
No,Cold,3.76,3.95,8.27,NA,65.5,69.14,111.85
No,Neutral,7.15,7.25,1.12,96.43,92.5,NA,109.05
No,Neutral,6.2,6.38,23.29,92.04,5.68,1.4,109.94
Yes,Neutral,5.18,5.04,NA,78.58,44.44,46.21,107.78
Yes,Cold,7.17,7.38,22.54,70.04,71.3,72.2,105.45
Yes,Neutral,5.57,5.82,1.66,70.52,77.46,73.84,107.59
Yes,Neutral,5.08,4.94,23.64,98.08,72.14,73.88,115.88
No,Neutral,6.74,6.52,2.69,84.23,6.36,2.01,96.25
No,Neutral,4.71,4.68,9.71,99.78,3.35,1,101.37
No,Neutral,3.64,3.74,8.1,98.03,38.88,41.88,112.24
No,Hot,5.36,NA,1.83,80.25,31.46,33.21,97.71
Yes,Neutral,2.58,2.54,45.21,87.78,38.12,34.61,110.8
Yes,Neutral,7.26,7.56,8.23,90.33,69.61,73.8,113.49
Yes,Neutral,5.4,5.5,5.23,79.5,84.11,86.04,108.35
No,Neutral,2.14,2.14,8.77,89.33,56.53,52.7,107.65
No,Cold,5.36,5.59,NA,93.51,51.09,47.88,103.86
No,Cold,NA,5.59,8.86,97.87,31.59,26.78,106.02
Yes,Cold,NA,5.58,NA,88.56,48.98,NA,116.85
No,Cold,4.41,4.59,4.52,52.95,41.26,42.18,107.15
Yes,Neutral,2.11,2.04,7.14,87.69,20.97,22.9,107.3
No,Cold,1,0.97,8.58,98.03,57.64,57.15,90.52
No,Hot,3.06,3.01,36.89,95.24,99.04,95.13,94.26
No,Hot,5.31,5.54,2.93,NA,55.97,54.7,92.07
Yes,Neutral,6.38,6.17,87.6,87.69,26.78,30.95,115.44
Yes,Cold,6.42,6.59,4.38,75.93,52.87,57.36,109
Yes,Neutral,3.96,4.06,59.1,90.11,69.61,74.15,108.19
No,Neutral,7.51,7.58,10.49,97.84,86.9,NA,114.45
Yes,Neutral,3.69,3.85,14.53,99.92,79.04,83.68,118.21
NA,Cold,1.59,1.57,11.78,82.62,91.23,89.3,107.05
No,Hot,3.72,NA,46.83,99.48,39.55,39.92,105.13
Yes,Neutral,5.19,5.11,18.26,NA,24.72,20.26,115.23
No,Neutral,4.68,4.56,2.68,93.16,77.7,72.79,109.23
No,Neutral,2.91,2.89,21.8,96.16,64.79,67.09,102.7
No,Cold,5.69,5.75,11.43,89.98,77.28,74.76,113.55
Yes,NA,4.74,4.85,7.96,69.73,54.39,51.81,109.74
NA,Neutral,5.8,5.54,NA,20.62,7.35,2.78,114.66
No,Neutral,6.03,6.05,14.97,81.78,58.94,62.75,104.68
Yes,Neutral,4.1,NA,28.84,NA,38.93,38.45,115.67
Yes,Neutral,4.86,4.72,1.44,88.42,52.73,54.9,108.7
No,Hot,5.91,6.01,14.71,89.15,85.84,87.59,92.01
No,Hot,2.93,2.87,1.59,73.72,6.73,10.01,88.7
Yes,Neutral,2.53,2.49,3.9,85.02,98.31,94.23,106.57
Yes,Neutral,5.53,5.3,6.99,90.54,NA,90,113.66
NA,Cold,3.37,3.23,3.38,98.72,46.93,48.27,108.94
No,Cold,2.22,2.22,5.42,NA,82.46,84.52,111.53
No,Hot,8.05,8.18,11.92,77.54,70.21,68.78,94.79
Yes,Neutral,5.41,5.17,6.32,83.06,12.54,8.58,121.08
No,Hot,5.94,6.04,5.64,89.34,49.35,51.43,100.14
Yes,Cold,6.08,6.27,1.39,64.69,4.94,7.86,110.03
No,Neutral,7.02,7.32,6.5,83.3,50.3,54.63,109.97
Yes,Neutral,8.07,8.23,16.98,98,58.48,57.88,113.77
Yes,Neutral,3,3.02,11.69,71.75,52.86,49.25,107.4
Yes,Neutral,4.33,4.27,4.06,99.24,17.95,22.83,114.87
No,Hot,5.25,5.5,6.6,97.93,71.8,70.32,99.93
Yes,NA,6.54,NA,6.04,92.75,72.56,67.88,106.39
Yes,Cold,6.02,5.77,8.13,68.52,NA,37.55,111.06
No,Neutral,5.45,5.24,8.44,95.5,32.84,32.48,111.06
No,Neutral,3.76,3.9,1.88,90.63,68.69,72.94,106.93
Yes,Neutral,6.22,6.51,17.52,98.84,63.22,62.62,108.97
No,Neutral,5.57,5.52,3.59,91,76.77,80.59,96.52
No,Neutral,2.47,2.5,2.34,NA,39.68,NA,106.41
Yes,Neutral,4.15,4.22,14.11,94.96,19.24,14.51,111.55
No,Neutral,2.63,NA,20.32,61.41,35.21,36.74,103.75
Yes,NA,5.73,5.75,5.22,99.81,9.39,11.46,109.85
Yes,Hot,NA,4.53,6.2,98.87,70.72,NA,101.95
NA,Hot,NA,6.49,3.07,79.21,44.24,48.05,96.21
NA,Neutral,6.64,6.4,19.69,69.48,78.79,75.41,105.72
No,Neutral,6.34,6.04,48.17,81.72,59.91,60.42,109.43
Yes,Hot,5.68,5.78,2.92,91.72,NA,12.7,97.8
No,Hot,7.75,7.39,12.23,70.5,81.47,79.3,106.21
No,Cold,4.6,4.69,42.86,67.53,86.66,89.25,112.47
Yes,Cold,4.05,3.96,9.45,97.88,75.47,80.41,107.1
No,Neutral,6.59,6.36,9.03,99.94,59.09,54.9,106.7
Yes,Neutral,NA,5.96,28.85,91.77,42.61,45.61,106.66
No,Cold,6.9,6.95,1.72,74.26,11.65,9.17,98.86
Yes,Cold,6.92,6.66,30.03,82.21,NA,66.3,121.45
No,Neutral,7.16,7.11,21.41,87.36,41.67,44.04,103.63
No,Hot,4.91,4.95,29.15,75.18,20.74,24.38,91.83
No,Hot,2.83,2.84,2,82.93,32.4,35.76,92.39
No,Neutral,8.4,8.6,38.34,86.04,NA,18.73,109.95
Yes,Neutral,NA,6.08,6.51,83.04,20.24,NA,105.2
Yes,Hot,5.84,5.92,12.16,94.18,9.48,11.18,110.12
Yes,Cold,4.52,4.34,2.75,70.02,76.38,76.44,114.29
No,Neutral,NA,1.04,35.61,93.95,NA,85.32,105.43
Yes,Neutral,8.79,8.7,23.53,95.63,63.16,61.02,106.96
No,Neutral,2.49,NA,2.13,81.79,72.02,67.75,101.04
No,Cold,1.79,1.77,26.2,99.51,57.34,54.55,105.55
No,Neutral,6.43,6.35,26.55,81.7,3.3,2.39,114.9
No,Cold,4.34,4.17,3.28,86.76,42.89,38.36,102.81
Yes,Cold,5.72,5.61,NA,93.86,48.28,48.96,111.75
Yes,Cold,2.53,2.61,1.4,95.73,NA,NA,115.86
NA,Neutral,4.16,4.16,13.52,95.9,90.54,94.95,100.83
No,Hot,NA,8.67,NA,95.25,83.71,82.62,102.23
No,Neutral,3.49,NA,8.48,97.86,30.05,29.03,111.55
Yes,Neutral,5.24,5.23,60.37,94.73,83.13,83.89,106.17
No,Cold,5.03,NA,1.47,86.05,83.09,87.05,101.17
Yes,Neutral,5.17,5.29,2.72,93.11,94.78,91.97,114.04
No,NA,6.52,6.42,2.08,91.62,60.92,61.32,107.82
Yes,Neutral,3.17,3.28,18.82,97.7,21.66,20.02,117.89
Yes,NA,3.7,3.74,46.07,71.14,58.08,53.46,110.24
No,Neutral,6.77,6.5,6.65,95.26,9.19,8.66,109.43
Yes,Hot,1.05,1.07,5.45,94.84,NA,77.69,96.55
Yes,Neutral,3.89,3.72,1.48,98.97,57.73,56.89,104.92
Yes,Neutral,6.5,6.63,41.15,94.54,75.28,77.14,114.25
No,Neutral,1.58,1.62,20.83,82.02,48.59,53.18,108.65
Yes,Neutral,4.15,NA,2.13,93.92,NA,50.55,105.81
Yes,Neutral,5,4.95,6.47,51.19,97.95,100,108.61
Yes,Neutral,6.49,6.63,11.15,73.08,73.68,76.99,107.09
Yes,Cold,1,1.04,10.48,83.81,60.34,64.81,106.91
No,Neutral,4.38,NA,10.73,39,10.07,7.82,113.91
No,Neutral,3.49,3.52,11.7,95.49,30.34,33.03,99.68
Yes,Hot,5.33,5.48,14.59,63.14,63.21,64.14,101.42
Yes,NA,1,1.04,3.71,88.38,27.83,31.39,110.14
No,Neutral,2.82,NA,42.89,99.58,56.64,54.2,97.08
Yes,Cold,7.22,7.5,13.6,77.61,20.88,17.16,113.33
No,Neutral,NA,7.78,25.8,89.9,56.87,56.95,113.03
Yes,Hot,7.4,7.35,1.25,81.15,1.33,4.52,101.02
Yes,Neutral,6.33,6.17,15.56,93.36,52.09,54.71,110.82
No,Neutral,4.35,4.42,6.44,99.91,95.55,97.66,108.4
No,Hot,4.7,4.73,NA,98.47,74.93,70.28,100.87
No,Neutral,5.32,5.21,2.99,99.16,31.19,27.65,102.34
Yes,Neutral,6.75,6.55,1.01,84.39,10.66,9.22,111.26
Yes,Hot,8.1,8.09,2.97,83.07,6.12,9.06,100.15
No,Neutral,3.34,3.37,4.05,93.42,39.66,42.75,95.33
No,Hot,2.59,2.72,22.84,98.44,8.24,4.41,94.91
Yes,Neutral,1.6,1.65,12.72,87.34,57.94,56.68,105.19
No,Cold,7.62,7.58,8.94,96.72,29.9,32.65,106.17
NA,Hot,9.48,9.92,8.35,94.78,NA,NA,100.66
Yes,Hot,3.91,3.76,11.23,83.68,NA,82.87,101.24
Yes,Neutral,5.39,5.21,2.42,98.95,1.92,4.4,119.35
No,Cold,NA,2.52,32.99,66.55,21.03,16.47,101.57
No,Cold,5.4,5.28,26.2,80.65,72.17,70.76,109.13
No,Neutral,4.01,4.18,6.9,96.2,NA,28.78,103.73
No,Neutral,3.66,3.49,2.08,NA,52.07,47.74,98.83
No,Neutral,3.43,3.42,12.99,82.08,17.52,14.12,104.01
Yes,NA,3.74,3.66,1.53,NA,5.79,8.52,104.99
No,Neutral,6.16,6.03,6.35,62.88,96.23,100,102.93
No,Cold,5.39,5.42,9.12,83.46,39.15,40.16,102.03
No,Neutral,1.58,1.66,14.65,94.52,80.17,83.56,105.84
NA,Cold,7.78,7.57,13.71,98.14,32.48,34.95,123.5
No,Neutral,4.01,3.92,2.17,95.71,99.1,97.57,101.45
NA,Hot,7.12,7.46,NA,76.87,58.01,NA,91.36
No,Cold,7.68,7.55,28.94,93.48,74.52,70.48,108.7
Yes,Neutral,4.76,4.66,13.19,92.74,22.57,27.17,115.39
No,Neutral,3.03,2.9,25.98,90.1,25.2,22.93,106.6
Yes,Neutral,3.45,3.47,6.72,99.83,NA,100,112.26
No,Hot,7.49,7.46,1.31,92.21,46.74,50.95,102.67
No,Neutral,6.91,6.63,18.2,NA,21.23,20.07,110.96
Yes,Cold,4.61,4.76,9.96,93.56,21.18,16.51,110.47
Yes,Neutral,NA,4.21,NA,95.65,82.62,81.31,113.78
Yes,Neutral,5.38,5.42,4.4,82.21,56.15,57.26,114.5
NA,Neutral,2.75,2.82,5.5,98.13,4.12,8.51,109.12
Yes,Neutral,7.01,NA,3.83,72.17,58.11,53.71,109.58
Yes,Cold,5.23,5.28,19.38,73.85,2.28,4.36,107.89
Yes,Neutral,6.8,6.88,7.64,74,69.68,68.33,110.28
No,Neutral,3.36,3.22,NA,95.44,6.5,9.46,99.71
No,Neutral,6.82,6.5,10.8,97.11,82.29,78.28,107.48
Yes,Cold,5.77,5.92,23.14,96.88,78.36,81.61,117.14
Yes,Hot,4.4,4.55,11.22,90.31,59.56,60.47,100.84
Yes,Neutral,4.76,4.73,8.5,87.89,94.16,91.85,115.01
Yes,Neutral,5.24,5.41,4.69,73.24,27.89,30.74,109.29
Yes,Cold,10,10.13,30.75,83.62,68.85,NA,112.34
Yes,Neutral,3.77,3.7,29.32,96.03,71.9,73.97,103.79
No,Hot,5.84,6.02,5.76,97.63,17.07,17.87,107.71
Yes,Neutral,3.79,3.94,35.12,71.12,37.27,33.45,108.11
Yes,Hot,NA,5.3,18.44,97.36,36.48,37.29,100.69
Yes,Hot,6.04,5.93,53.07,71.86,NA,9.62,109.21
Yes,Neutral,6.12,6.19,5.63,99.28,28.88,24.14,119.41
No,Neutral,7.09,7.03,2.4,68.79,62.97,59.09,108.14
No,Hot,3.41,3.56,7.18,93.43,15.83,16.67,96.72
No,Neutral,4.32,4.15,20.43,91.86,62.97,66.62,119.63
No,Neutral,5.7,5.47,1.04,79.45,80.76,77.26,94.4
Yes,Cold,4.48,4.39,9.02,98.55,87.75,84.96,109.51
Yes,Hot,4.16,3.97,3.52,98.67,76.22,NA,92.96
No,Cold,4.25,4.08,26.8,99.25,38.06,37.89,112.74
No,Neutral,5.43,5.27,2.99,91.29,7.43,8.99,105.54
No,Neutral,3.6,3.75,17.4,NA,3.73,2.83,112.32
No,Hot,5.01,5.21,1.98,88.66,77.11,73.02,101.04
No,Hot,6.39,6.4,1.97,NA,79.16,79.04,101.58
No,Hot,7.65,7.45,18.01,90.55,72.17,70.61,100.4
Yes,Neutral,5.1,5.06,NA,95.04,86.38,83.66,120.54
Yes,Neutral,3.52,3.63,5.6,93.58,7.21,3.37,113.19
Yes,Hot,4.79,4.6,1.58,81.58,95.37,99.4,97.96
No,Neutral,4.89,5.05,9.8,98.51,66.85,70.27,109.2
No,Hot,4.57,4.49,2.68,93.62,47.65,45.86,83.52
Yes,Cold,6.66,6.84,1.63,56.26,37.47,36.53,106.41
NA,Cold,2.29,2.39,NA,95.48,40.87,NA,100.49
No,NA,2.61,2.5,8.96,89.9,61.46,63.8,107.81
Yes,Cold,4.93,5.13,3.64,89.01,39.47,34.97,116.36
No,Neutral,6.22,NA,75.9,93.46,98.53,96.5,103.29
No,Cold,NA,4.57,1.02,88.46,62.81,63.08,101.63
No,Neutral,6.5,6.58,21.18,87.16,17.38,16.12,107.39
No,Neutral,6.3,6.35,40.2,95.64,55.61,57.25,102.69
No,Neutral,5.31,5.56,7.35,89.2,70.41,72.1,104.98
Yes,Cold,6.85,7.11,5.74,83.9,96.38,100,103.79
No,Neutral,5.33,NA,10.7,97.37,79.94,75.46,119.23
Yes,Neutral,4.85,4.74,12.14,83.82,59.54,57.26,109.69
No,NA,6.09,5.93,7.47,97.06,35.6,34.03,102.9
No,Neutral,4.45,4.56,NA,91.15,61.18,57.37,103.15
No,Neutral,7.91,7.86,21.37,62.24,48.75,44.44,97
No,Neutral,5.57,5.32,51.53,53.43,2.46,1,108.41
Yes,Cold,2.18,2.26,10.11,85.01,43.72,45.87,106.34
No,Neutral,7.93,8.13,64.85,98.78,70.34,70.2,119.91
Yes,NA,1,1.03,26.66,81.9,37.42,40.9,105.36
Yes,Neutral,4.05,4.25,15.12,99.17,9.45,12.86,102.5
Yes,Neutral,3.53,3.59,3.23,97.34,91.6,90.58,98.51
No,Hot,1,1,11.62,94.9,43.92,39.16,97.65
Yes,Neutral,7.19,7.47,23.02,NA,63.84,66.35,115.84
Yes,Cold,2.01,2.1,8.14,92.69,10.81,15.39,109.88
NA,Neutral,3.09,3.18,18.06,75.03,31.76,34.22,106.47
Yes,Neutral,5.13,5.3,13.28,91.12,51.68,47.66,108.69
Yes,NA,4.64,4.84,2.9,NA,22.45,20.96,104.45
Yes,Neutral,3.16,3.26,10.31,99.67,4.99,3.57,109.01
No,Neutral,4.05,4.21,15.1,98.25,89.27,84.67,101.56
Yes,Hot,6.2,6.3,6.51,90.09,35.96,39.69,104.49
Yes,Cold,NA,2.34,26.09,92.04,NA,6.28,106.13
Yes,Cold,7.79,7.46,14.01,78.25,48.31,46.63,113.32
No,Hot,6.91,6.96,1.05,94.46,80.56,85.02,85.01
No,Neutral,2.3,2.34,22.12,99.57,62.39,58.64,102.88
Yes,Neutral,5.16,5.05,24.35,90.66,51.87,54.29,104.45
NA,NA,3.69,3.53,2.67,90.89,27.88,27.57,115.04
Yes,Neutral,3.7,3.73,11.52,91,62.15,63.71,105.15
Yes,Neutral,3.55,3.42,55.04,92.71,NA,69.45,115.26
Yes,Neutral,4.18,4.18,11.42,99.14,22.19,19.63,119.34
No,Hot,6.15,6.35,NA,98.95,16.96,12.46,99
Yes,Neutral,3.98,4.15,8.61,95.85,22.18,22.63,116.38
Yes,NA,NA,NA,4.39,82.96,31.2,29.77,108.97
Yes,Neutral,2.33,2.27,6.63,63.07,44.34,39.63,106.4
No,NA,10,9.98,4.13,99.52,66.13,65.72,110.14
Yes,Neutral,NA,0.98,30.03,91.92,54.42,53.4,107.41
Yes,Neutral,6.09,NA,2.86,90.13,25.65,29.04,106.82
No,Neutral,2.95,NA,1.17,86.07,50.58,47.83,99.23
Yes,Neutral,5.58,5.61,4.23,72.3,6.64,4.23,118.74
No,Neutral,5.32,5.16,5.98,74.74,16.93,18.22,100.43
Yes,Neutral,3.8,3.89,25.4,98.18,11.4,12.99,112.14
No,NA,1.64,1.65,3.93,90.64,28.34,31.53,103.05
No,Cold,1.65,1.58,23.96,99.85,76.46,77.5,107.21
Yes,Neutral,4.19,4.35,34.93,97.63,85.31,84.35,110.23
No,NA,4.84,4.71,1.19,18.15,93.22,98.07,92.23
No,Cold,9.41,9.86,1.27,99.08,51.66,49.81,108.91
Yes,Hot,6.65,6.54,18.2,70.6,54.99,NA,99.76
No,Neutral,5.24,5.02,3.2,NA,56.47,60.35,106.55
Yes,Neutral,6.08,5.84,NA,94.42,95.68,98.19,107.96
Yes,Neutral,4.08,4.09,2.82,90.96,25.42,26.15,115.85
Yes,Hot,5.51,5.65,42.92,95.96,15.99,16.62,97.41
No,Neutral,4.85,4.7,10.7,74.43,99.05,96.98,104.81
No,Neutral,5.62,5.67,3.49,93.31,59.65,64.45,101.21
No,Neutral,5.24,5.18,14.19,91.69,79.3,79.18,106.77
No,Neutral,6.24,NA,34.57,95.7,92.88,93.2,109.67
Yes,Neutral,3.73,3.59,25.89,73.21,56.37,55.05,115.7
Yes,Hot,7.73,7.87,20.39,96.94,83.58,79.44,109.47
Yes,Neutral,5.83,5.9,5.47,96.53,9.4,13.41,105.92
No,Neutral,6,5.99,4.19,83.22,16.16,11.91,104.41
Yes,Neutral,6.37,6.45,7.62,79.94,22.17,27.04,119.44
No,Neutral,6.35,6.06,NA,87.24,13.27,9.64,106.07
Yes,Hot,4.69,4.64,12.04,91.27,40.2,43.19,104.37
No,Neutral,5.22,4.98,12.69,52.35,NA,48.35,106.68
No,Neutral,6.06,6.02,NA,NA,35.34,34.35,108.68
Yes,Neutral,4.12,3.94,3.79,93.2,51.12,52.77,103.41
Yes,Neutral,1.66,1.68,5.75,84.66,20,17.14,113.81
Yes,Neutral,6,6.06,8.68,85.3,27.05,26.13,107.69
Yes,Neutral,1.69,1.7,1.99,98.9,14.42,NA,108.56
No,Neutral,1,1.04,1.17,94.13,77.05,78.03,104.74
No,Neutral,5.04,NA,2.36,94.52,41.1,42.15,102.64
No,Hot,6.21,6.13,5.66,64.79,5.81,6.23,100.34
Yes,Neutral,3.32,3.45,10,66.73,65.79,69.35,114.32
Yes,Neutral,3.93,3.76,7.68,94.33,73.45,74.29,110.45
Yes,Neutral,NA,9.85,4.55,91.43,71.53,69.63,112.45
No,Cold,5.67,5.65,5.16,91.69,57.83,57.25,101.47
NA,Neutral,4.03,3.86,8.64,85.51,53.81,53.48,114.91
Yes,Neutral,5.58,5.35,3.94,87.24,NA,91.84,107.88
NA,Neutral,6.07,5.93,46.87,98.11,42.35,37.71,117.65
Yes,Neutral,6.27,6.56,16.06,96.77,10.02,13.39,117.63
Yes,Neutral,3.5,3.62,7.51,85.75,19.82,23.53,103.53
No,Cold,5.7,5.83,1.93,NA,52.6,52.43,100.22
No,Cold,5.42,5.65,28.54,43.55,16.32,12.65,106.97
Yes,Neutral,3.65,3.53,4.03,85.87,28.46,33.33,107.8
Yes,Neutral,3.06,2.95,6.8,87.04,22.84,27.11,111.12
Yes,Neutral,4.81,4.76,5.64,87.17,50.02,45.31,100.53
No,Cold,NA,2.49,22.78,76.28,39.26,37.2,94.16
No,Cold,NA,9.48,9.28,91.16,57.49,61.07,114.94
Yes,Neutral,2.35,2.29,NA,87.33,38.89,34.45,105.75
Yes,Neutral,3.7,3.59,NA,99.89,79.74,79.18,116.28
Yes,Neutral,4.07,4.07,44.32,NA,70.35,73.04,116.55
Yes,Hot,4.02,4.21,8.94,95.24,72.78,73.1,101.7
Yes,NA,4.24,4.22,27.41,NA,NA,6.74,101.38
NA,Neutral,6.49,NA,3.8,84.59,63.19,60.01,108.57
Yes,Neutral,3.48,3.55,9.23,92.34,58.13,54.55,109.86
NA,Neutral,7.86,8.06,31.99,79.76,84.52,84.58,116.51
Yes,Neutral,5.36,5.6,7.98,78.89,NA,100,120.79
No,Hot,7.96,7.98,7.02,90.34,48.1,49.33,93.26
No,Neutral,1.17,1.2,4.71,97.35,78.18,73.88,101.84
No,Hot,4.1,3.99,15.1,88.73,37.22,36.21,103.25
Yes,Neutral,8.51,8.58,9.8,96.59,48.25,48.23,114.43
Yes,Neutral,NA,6.07,5.86,NA,15.82,14.45,113.96
No,Neutral,4.88,5.03,6.16,99.37,14.29,13.34,111.63
No,Neutral,5.21,5.07,23.76,74.93,67.52,64.02,112.17
Yes,Neutral,6.68,6.73,9.72,96.95,64.89,61.08,117.19
Yes,Cold,6.72,6.68,1.49,NA,67.85,69.36,110.1
No,Cold,4.98,4.76,1.81,93.65,84.47,NA,101.31
Yes,Hot,2.86,2.93,1.63,97.48,89.1,89.47,98.68
Yes,Neutral,3.71,3.59,1.55,91.45,14.02,11.81,114.52
Yes,Cold,6.82,6.8,5.03,95.59,86.23,90.48,110.74
Yes,Neutral,6.55,6.52,1.38,98.87,26.48,25.31,120.87
No,Neutral,2.94,2.89,1.29,89.63,11.96,8.16,110.37
Yes,Hot,3.48,3.62,21.11,94.2,68.83,64.41,99.42
Yes,Neutral,2.06,2.12,11.68,89.54,50.08,NA,93.69
Yes,Cold,2.27,2.25,5.39,71.5,80.76,75.87,97.74
No,Neutral,6.03,6.26,2.69,99.59,22.31,19.47,107.26
Yes,Neutral,7.94,8.15,10.19,89.86,23.27,20.17,112.12
No,Neutral,5.57,5.63,5.13,76.45,29.76,26.54,97.55
No,Neutral,NA,1.64,9.6,96.65,44.68,46.51,102.78
No,Cold,3.97,NA,13.76,92.96,23.9,19.77,104.35
No,Cold,2.6,2.68,22.97,NA,40.47,36.71,106.07
NA,Neutral,7.7,7.54,19.54,95.9,75.55,71.85,118.23
Yes,Cold,5.54,5.74,NA,81.74,24.39,20.43,107
Yes,Hot,6.42,6.18,4.81,90,30.32,30.92,104.47
No,Cold,3.85,4.03,NA,97.4,72.86,75.72,99.83
No,Neutral,2.95,2.97,8.64,83.71,28.75,25.98,102.49
No,Cold,5.59,5.71,NA,92.68,28.95,33.14,101.77
No,Hot,8.24,8.18,12.35,99.7,90.1,93.96,96.42
No,Cold,6.92,7.18,6.52,95.84,3.58,7.39,106.03
Yes,Cold,6.4,6.08,15.45,96.14,32.64,30.21,124.89
No,Neutral,8.31,8.15,39,NA,69.82,68.22,111.69
NA,Hot,4.39,4.54,25.34,95,81.98,80.09,102.99
Yes,Hot,7.83,7.78,1.74,94.99,71.42,71.53,106.47
No,NA,4.03,4.04,3.84,93.46,96.85,99.54,108.55
Yes,Neutral,4.14,4.08,10.44,81.02,1.31,1,108.61
Yes,Hot,1.58,1.58,28.13,97.81,15.39,13.3,99.16
No,Cold,7.79,7.88,12.11,92.65,42.95,45.62,111.16
Yes,Cold,7.91,8,7.74,96.48,46.97,42.64,121.47
NA,Neutral,3.68,3.86,NA,90.62,51.56,53.39,115.52
No,Neutral,1.39,1.38,12.49,93.55,22.56,24.88,105.49
No,Neutral,2.66,2.55,NA,97.19,36.27,32.85,104.02
Yes,Neutral,3.76,NA,13.43,76.6,93.89,93.51,109.3
